data_id,language,form,age,gender,mom_ed,comprehension,production
87183,English (British),TEDS Twos,24,Male,Some Secondary,14,14
87184,English (British),TEDS Twos,23,Male,Some Secondary,12,12
87185,English (British),TEDS Twos,23,Male,NA,30,30
87186,English (British),TEDS Twos,23,Female,NA,36,36
87187,English (British),TEDS Twos,24,Female,Some College,21,21
87188,English (British),TEDS Twos,24,Female,Some College,20,20
87189,English (British),TEDS Twos,24,Male,Secondary,34,34
87190,English (British),TEDS Twos,24,Male,Secondary,26,26
87191,English (British),TEDS Twos,24,Female,Some Secondary,93,93
87192,English (British),TEDS Twos,24,Male,Some Secondary,47,47
87193,English (British),TEDS Twos,24,Female,Primary,65,65
87194,English (British),TEDS Twos,24,Male,Primary,67,67
87195,English (British),TEDS Twos,23,Female,Some Secondary,49,49
87196,English (British),TEDS Twos,23,Male,Some Secondary,28,28
87197,English (British),TEDS Twos,24,Male,Some Secondary,95,95
87198,English (British),TEDS Twos,24,Male,Some Secondary,54,54
87199,English (British),TEDS Twos,24,Female,Secondary,82,82
87200,English (British),TEDS Twos,24,Male,Secondary,64,64
87201,English (British),TEDS Twos,23,Female,Secondary,45,45
87202,English (British),TEDS Twos,24,Male,Secondary,40,40
87203,English (British),TEDS Twos,24,Male,Some Secondary,9,9
87204,English (British),TEDS Twos,24,Female,Some Secondary,48,48
87205,English (British),TEDS Twos,23,Female,Primary,100,100
87206,English (British),TEDS Twos,23,Female,Primary,90,90
87207,English (British),TEDS Twos,24,Female,Primary,91,91
87208,English (British),TEDS Twos,24,Female,Primary,100,100
87209,English (British),TEDS Twos,23,Female,Some Secondary,45,45
87210,English (British),TEDS Twos,23,Male,Some Secondary,18,18
87211,English (British),TEDS Twos,24,Female,Secondary,49,49
87212,English (British),TEDS Twos,24,Female,Secondary,48,48
87213,English (British),TEDS Twos,23,Female,Some Secondary,29,29
87214,English (British),TEDS Twos,23,Female,Some Secondary,21,21
87215,English (British),TEDS Twos,22,Female,Primary,55,55
87216,English (British),TEDS Twos,22,Female,Primary,71,71
87217,English (British),TEDS Twos,24,Female,Some College,59,59
87218,English (British),TEDS Twos,24,Female,Some College,58,58
87219,English (British),TEDS Twos,23,Male,Secondary,46,46
87220,English (British),TEDS Twos,23,Female,Secondary,47,47
87221,English (British),TEDS Twos,23,Male,Secondary,32,32
87222,English (British),TEDS Twos,23,Male,Secondary,32,32
87223,English (British),TEDS Twos,24,Male,Primary,5,5
87224,English (British),TEDS Twos,24,Male,Primary,16,16
87225,English (British),TEDS Twos,24,Female,None,46,46
87226,English (British),TEDS Twos,24,Female,None,46,46
87227,English (British),TEDS Twos,24,Male,Some Secondary,5,5
87228,English (British),TEDS Twos,24,Male,Some Secondary,4,4
